case_id,phone_hash,bank_hash,upi_hash,sim_hash,vehicle_hash,weapon_type,digital_artifact_hash
"KA-202501-000057","PH-4A8F24ED78","BK-DFADB7D048","UPI-243088425C","SIM-F84EDE4EDC","","","DA-B839C82375"
"KA-202501-000060","PH-2DEEC5D7F6","BK-5FFF0C7573","UPI-49D5CBE8D1","SIM-E3B8698F96","","","DA-5FDFF9A510"
"KA-202501-000063","PH-56EB7F77C4","BK-534C9AE433","UPI-0303429B01","SIM-7FBA435CCA","","","DA-4766B10E2A"
"KA-202501-000066","PH-7E704BA2B9","BK-6BA1ED5F76","UPI-188432CAC2","SIM-F1BFA88A13","","","DA-6A17389A68"
"KA-202501-000069","PH-4B5CBFDE00","BK-4847EC26A7","UPI-0F39B62966","SIM-E4EC48033D","","","DA-910DDE62BF"
"KA-202501-000072","PH-16AB6BC712","BK-0D8917C55A","UPI-B22B021E1B","SIM-4A31C3299F","","","DA-84BE46FFB9"
"KA-202501-000075","PH-E1EFA5F625","BK-8087024FBB","UPI-1134E7FA19","SIM-D6D3B1B47A","","","DA-50D79FD7B6"
"KA-202501-000078","PH-130D14DF89","BK-DFC77519FA","UPI-9A49F361F3","SIM-26E771FB42","","","DA-D752BC34E8"
"KA-202501-000081","PH-2C13546FDD","BK-E3B2850FD3","UPI-D4F7593890","SIM-FFCB15CBD7","","","DA-2F452F10FF"
"KA-202501-000084","PH-CAA6FFC547","BK-F3C55C91DE","UPI-B0BE5D5CDC","SIM-4ACEDDBE4D","","","DA-AFDBCE9FDA"
"KA-202501-000087","PH-30BB3AA730","BK-D113396C16","UPI-3DF04384CB","SIM-50CECEDB87","","","DA-670DCC02B1"
"KA-202501-000090","PH-ABDAA4E2F5","BK-CB5E8B5481","UPI-CD30B5296F","SIM-7B6C958724","","","DA-9AAA1E830B"
"KA-202501-000093","PH-A367B563E0","BK-BA050F01A2","UPI-6B57FE04D4","SIM-B437D197F9","","","DA-8682B58EBF"
"KA-202501-000096","PH-47D4C2CB86","BK-C815AC4CA3","UPI-4A2FEDCB44","SIM-A8F1F93EFF","","","DA-4450AC1B97"
"KA-202501-000099","PH-02448B19C1","BK-BD29DD079E","UPI-8C1793FCD3","SIM-EDD7AAEE91","","","DA-CD60555B6F"
"KA-202501-000102","PH-3939B705F2","BK-C560ECB9F7","UPI-33897AC7D4","SIM-1EE77DFDD7","","","DA-1ED159BC8D"
"KA-202501-000105","PH-D7815D13CF","BK-393DB8FB1E","UPI-3C5ABD9078","SIM-69C4C83385","","","DA-2D6CDAACC0"
"KA-202501-000108","PH-21952DC3AA","BK-0C60BB5573","UPI-FA54CAC8C5","SIM-3BACAC4266","","","DA-70B39AB5D2"
"KA-202501-000111","PH-7164473F43","BK-938E431142","UPI-0E6824FACD","SIM-B86DDEA087","","","DA-FF6716BA29"
"KA-202501-000114","PH-10118B6B78","BK-CBDB73B868","UPI-146B11C7C9","SIM-1CDE0C0A20","","","DA-5A687AF9A6"
"KA-202501-000117","PH-C47CC2AC51","BK-FC44575441","UPI-D9BC2E9F1D","SIM-FFB6C7768A","","","DA-58B82F2D2B"
"KA-202501-000120","PH-4B34232123","BK-3E2408C218","UPI-2FDC469AC3","SIM-EC6F37AFD6","","","DA-37C6E6CF9D"
"KA-202501-000123","PH-900F45EEE2","BK-048D636B68","UPI-4A2CCC787D","SIM-82B6E84967","","","DA-05E7470D4A"
"KA-202501-000126","PH-D40BFB0B3E","BK-59E696367A","UPI-A981FD26A4","SIM-A30FDA5FC4","","","DA-9A21AA15C5"
"KA-202501-000129","PH-ABA8A2EE02","BK-88DF384A78","UPI-FB53F73196","SIM-F5AD335B5D","","","DA-D99077839B"
"KA-202501-000132","PH-969C1879F5","BK-14405E0A56","UPI-58A5603902","SIM-CECB3098AD","","","DA-0646446440"
"KA-202501-000135","PH-667D1927D1","BK-CB016CEC1C","UPI-9AD2FDC2F0","SIM-B11E8F8EE5","","","DA-056CEE19B9"
"KA-202501-000138","PH-EB3841346D","BK-B72A6CCDEF","UPI-399B8AC6A7","SIM-01C4EE86EE","","","DA-386A6C2863"
"KA-202501-000141","PH-D2D194A3D1","BK-D81D5D88FE","UPI-017D028D92","SIM-317E142FBB","","","DA-A4CEF64BE7"
"KA-202501-000144","PH-BBB8210025","BK-D5B8E11FF4","UPI-DFDDE01A62","SIM-391DE1580D","","","DA-60AF669560"
"KA-202501-000147","PH-AF78D4CB1C","BK-30677ABC18","UPI-9020625982","SIM-5808362C6B","","","DA-E7E2DDA599"
"KA-202501-000150","PH-9B86174BE3","BK-DE1B10CBE2","UPI-ADF374D16D","SIM-1124D7FD68","","","DA-53B3730AC0"
"KA-202501-000153","PH-A4626FBA1F","BK-6D0B7F3151","UPI-ADC565013C","SIM-9ABBB9D048","","","DA-ADF46DDE8D"
"KA-202501-000156","PH-5C16B5B588","BK-7B5288CE2C","UPI-F08EBF15D5","SIM-9E54D42BEC","","","DA-0974369ACD"
"KA-202501-000159","PH-6ECBD9ACF1","BK-0DBFA77625","UPI-8C378BA08E","SIM-1056D8AF3F","","","DA-9CBA159C2A"
"KA-202501-000162","PH-00E366E4E4","BK-1FD80EED48","UPI-7BD288B516","SIM-02CE84FF8D","","","DA-67D0D084A8"
"KA-202501-000165","PH-F1A2D60097","BK-13147C215B","UPI-4584F1E4C5","SIM-19A645CD7D","","","DA-341DCD6426"
"KA-202501-000168","PH-9E43FF6211","BK-3B4A51DF76","UPI-E68D81AD50","SIM-DC7B34CF23","","","DA-12B49DA741"
"KA-202501-000171","PH-80B936097B","BK-299A5FD595","UPI-77033CEF8F","SIM-94E12D17A5","","","DA-2D4F7844F2"
"KA-202501-000174","PH-85916DD41C","BK-E4F21EFE7D","UPI-4EDD428659","SIM-52240DD87C","","","DA-30D26A87B3"
"KA-202501-000177","PH-67C4C86757","BK-7A720C21BB","UPI-E98B76D7A1","SIM-0B57B53790","","","DA-2B98E1CDF0"
"KA-202501-000180","PH-2EA9C08A47","BK-5E52CC6C99","UPI-E14A051F7E","SIM-B4C6605E15","","","DA-4A56A33C1B"
"KA-202501-000183","PH-51B26791B8","BK-5B94056E01","UPI-F2C594785C","SIM-A4A8DE959C","","","DA-7503C19BCC"
"KA-202501-000186","PH-01543B32FC","BK-DCE912BB1E","UPI-55B61E8FF1","SIM-6D65454272","","","DA-AEAF55B4A1"
"KA-202501-000189","PH-0EDE7E6263","BK-E8650147EA","UPI-28D702B993","SIM-B7C25529E1","","","DA-D281C022B3"
"KA-202501-000192","PH-D0097FDE1B","BK-F43AB9867E","UPI-64444396AC","SIM-499BF886D8","","","DA-A71EE65E11"
"KA-202501-000195","PH-B93944A5FE","BK-65430F7232","UPI-C3DA13ECED","SIM-33AB715014","","","DA-A06296B9FC"
"KA-202501-000198","PH-37E159A832","BK-B771F53694","UPI-D0C9C43897","SIM-08AC9E9A94","","","DA-F6C0E12370"
"KA-202501-000201","PH-D682F4ED4E","BK-1440DAA106","UPI-C3FA001BD3","SIM-39D79894E2","","","DA-3313F0E85C"
"KA-202501-000204","PH-1997AA4C09","BK-17C84FCE54","UPI-15ABA1CEFC","SIM-2210629B3A","","","DA-6596773967"
"KA-202501-000207","PH-3969839FCF","BK-FD276C7235","UPI-1CFD60CD5B","SIM-30B8DCF1B1","","","DA-48A25B6CDA"
"KA-202501-000210","PH-498EE65AA6","BK-2AFC3FFBB0","UPI-080F1F918F","SIM-770558C559","","","DA-B3E1FC559E"
"KA-202501-000213","PH-C33B2CAFC5","BK-D97436DB11","UPI-8DD404FE84","SIM-4EED9FBD30","","","DA-95D9FDAB3C"
"KA-202501-000216","PH-BF617BBB06","BK-705B44522C","UPI-A5F156F5B7","SIM-17E1FAA019","","","DA-3518C86A30"
"KA-202501-000219","PH-8F193D7F11","BK-769A2DC319","UPI-EE36A7DE80","SIM-55C5CFFC26","","","DA-C123C7D3FC"
"KA-202501-000222","PH-181E85A902","BK-84F155B97D","UPI-6FE24F1E4D","SIM-74273CEEE8","","","DA-FEB3EF548E"
"KA-202501-000225","PH-6CFE133B52","BK-023FE2B32C","UPI-5259DF8C41","SIM-F2FDC27FEB","","","DA-3B949E1CC6"
"KA-202501-000228","PH-A611BE423C","BK-941921D6DE","UPI-742A1D03AF","SIM-F90D76F39C","","","DA-B5D5A7AEF6"
"KA-202501-000231","PH-C154528F8A","BK-F8F8A1231E","UPI-4E35FF511F","SIM-6718555BEA","","","DA-ABDF68B2A3"
"KA-202501-000234","PH-05C2B162BE","BK-56922B3B5B","UPI-2937FB2651","SIM-AA33E84F63","","","DA-578EA01661"
"KA-202501-000237","PH-D8721DF95D","BK-D7C6720D09","UPI-65A3253841","SIM-AEE570E3EE","","","DA-9B78D55EE3"
"KA-202501-000240","PH-932AE0F93C","BK-7FE4978087","UPI-7AF0D4CDB3","SIM-DA2BF67F02","","","DA-5ABBE5A48D"
"KA-202501-000243","PH-8B164BAC3F","BK-71C971E45F","UPI-14EC0980AC","SIM-C6C4778640","","","DA-EB787D1794"
"KA-202501-000246","PH-4F52A0B13A","BK-A7052B5524","UPI-DEAEA33F5E","SIM-F192ED78BA","","","DA-DE9B88D034"
"KA-202501-000249","PH-060D629BB1","BK-F6EFD0A075","UPI-EBE12AC17C","SIM-9F825BE5F2","","","DA-13C8C9163B"
"KA-202501-000252","PH-26005B6ADB","BK-1C916A2A5B","UPI-00300D39D2","SIM-F0DFCFD7A0","","","DA-2270C8E8D4"
"KA-202501-000255","PH-DBB9670BD2","BK-537880294C","UPI-E5AC4F322B","SIM-3B8B65F459","","","DA-FAD2E6EFB9"
"KA-202501-000258","PH-3DBB60A8E3","BK-A663DB8EBA","UPI-A937268071","SIM-973B87A6CD","","","DA-A1CC72A84E"
"KA-202501-000261","PH-B32D254106","BK-E49E282ADC","UPI-807EFD54C0","SIM-9194854210","","","DA-BD0F5E1E5C"
"KA-202501-000264","PH-E5033A7533","BK-31CD62E054","UPI-AF39499B1E","SIM-7EBD4FE33C","","","DA-2BE816F907"
"KA-202501-000267","PH-021808894A","BK-309791BE45","UPI-1CB3D641B7","SIM-1014316287","","","DA-AB3D47C3EF"
"KA-202501-000270","PH-72AFFB3FDF","BK-541B9291AF","UPI-98CDD74CB2","SIM-D756BB993C","","","DA-F6327FEEE3"
"KA-202501-000273","PH-A2857F8C0D","BK-51629EBE77","UPI-23DB5BD514","SIM-46FF384EE4","","","DA-E6349EE2E1"
"KA-202501-000276","PH-BAA9580C0C","BK-7836EB4056","UPI-76A18173DE","SIM-41EB1EDAF1","","","DA-0AE37C3F85"
"KA-202501-000279","PH-0052137B34","BK-4DC2324073","UPI-DC7C57B3AD","SIM-922B9ACE5A","","","DA-3D197E0C9B"
"KA-202501-000282","PH-14ADB4D166","BK-F7C62A1482","UPI-866CEFCD81","SIM-E0623FED17","","","DA-C6EF81FE98"
"KA-202501-000285","PH-2781AF1975","BK-547511BDA9","UPI-38E50D5FF4","SIM-60E144E30F","","","DA-88F3F09B93"
"KA-202501-000288","PH-19596D7944","BK-04D6D3BA17","UPI-DEF6664FC9","SIM-22668450EC","","","DA-97118FC1FD"
"KA-202501-000291","PH-62025C6EC5","BK-DBC98DAFE1","UPI-DE56E18EE4","SIM-1E7DDF3C2B","","","DA-793D64D32F"
"KA-202501-000294","PH-9EEA88E80F","BK-BCDFCA8068","UPI-ECA9A6AEC9","SIM-71394143FB","","","DA-ED8D55A87C"
"KA-202501-000297","PH-5B79558C8E","BK-8F7FB33671","UPI-A804BC8C3E","SIM-A99A70470E","","","DA-8D376EDC96"
"KA-202501-000300","PH-E3896EEC5C","BK-7D0D1509F7","UPI-5D2E6BF70A","SIM-F8BFDCCDC0","","","DA-BCC7F4F736"
"KA-202501-000303","PH-C7A220E9C7","BK-B8E2864650","UPI-E36B06853F","SIM-A6720CF1EF","","","DA-DB7DBA828D"
"KA-202501-000306","PH-2A497B4D22","BK-8A7AB51FD1","UPI-50CBBAD837","SIM-6A0BAAB9D3","","","DA-9B5A637597"
"KA-202501-000309","PH-CF0F55D3B8","BK-E7DE34B27C","UPI-5F05634867","SIM-FBBDDDDC67","","","DA-31FA195B50"
"KA-202501-000312","PH-BE724C8D13","BK-B9DDE47BF9","UPI-639ACD184F","SIM-887579F0E1","","","DA-D71AC4FC19"
"KA-202501-000315","PH-6C31E8E3F3","BK-72808C7DB7","UPI-AECB9B831B","SIM-5B6787FB0E","","","DA-83FCD78346"
"KA-202501-000318","PH-DF0F417308","BK-0DFF39D94E","UPI-70A9068ABD","SIM-DCAFA61A6B","","","DA-72D77E9399"
"KA-202501-000321","PH-9E2107B962","BK-23FE481DD1","UPI-8352D77469","SIM-3F28AE437B","","","DA-D74C1D4014"
"KA-202501-000324","PH-669AEA4BD1","BK-61D888BBAF","UPI-77DAC83CDA","SIM-68D9D7AF55","","","DA-DB515A7FA7"
"KA-202501-000327","PH-BFC4EF8D12","BK-2277A65E8C","UPI-1F99546305","SIM-162E5C522A","","","DA-5D3B341E4D"
"KA-202501-000330","PH-330FBBBC29","BK-F5D021E50F","UPI-A5933130F1","SIM-BAA1CB32FA","","","DA-D09ECE4E1D"
"KA-202501-000333","PH-389C4C7AE1","BK-2099FA4DDF","UPI-7BB11D60DD","SIM-1D7E4D5BF3","","","DA-55B46BDA00"
"KA-202501-000336","PH-4E3E3115B3","BK-7C0884924B","UPI-595250DE62","SIM-8E91AA5245","","","DA-559F1B5CB6"
"KA-202501-000339","PH-5EB0331977","BK-1DE61FB251","UPI-BFB7305E1C","SIM-1EE27E162B","","","DA-E5CAF03C93"
"KA-202501-000342","PH-4C46BBB175","BK-9AC9F47533","UPI-5364F746BB","SIM-CEACFF0205","","","DA-0F1874F939"
"KA-202501-000345","PH-9FF4CEE023","BK-D9E5BBAA6E","UPI-4ACFB867CB","SIM-3D0D0AC767","","","DA-A510457459"
"KA-202501-000348","PH-6293EA6670","BK-7848036384","UPI-21B993C2E1","SIM-719D96FBDD","","","DA-D390148C92"
"KA-202501-000351","PH-3C4471B818","BK-4D963ACC11","UPI-A1830C7AB6","SIM-B5424F4982","","","DA-AC219428F8"
"KA-202501-000354","PH-9BF73A7D52","BK-F7B130DD40","UPI-3B7F1B1015","SIM-B64B7BF1CA","","","DA-43AA18130E"
"KA-202501-000357","PH-157F1A21B4","BK-694370F4A6","UPI-E6928808FB","SIM-A92F3DA54F","","","DA-A91CEAFA5C"
"KA-202501-000360","PH-7D8EA3D03A","BK-B202354582","UPI-25079AF9FE","SIM-0064830ECF","","","DA-BAAA35A821"
"KA-202501-000363","PH-5E505550F9","BK-7B582A0351","UPI-C5D79E0B82","SIM-637C31D7C3","","","DA-53B57E7113"
"KA-202501-000366","PH-6A0DED47AE","BK-F0034C76EB","UPI-E810FF3CF2","SIM-69CDB13FDC","","","DA-5EFDBB5B5E"
"KA-202501-000369","PH-28CF8E9C34","BK-0335FB1109","UPI-5681F1BFAF","SIM-8678BD8676","","","DA-8A266E5A2E"
"KA-202501-000372","PH-AD123F3FF3","BK-01644E3AE2","UPI-823ABB44EC","SIM-9F9745B148","","","DA-FCF4E7089C"
"KA-202501-000375","PH-D0E5A49CE6","BK-84E3AA5840","UPI-DBF839AC79","SIM-0D79BC4C7A","","","DA-6B9D6EF9A9"
"KA-202501-000378","PH-3FB32FE7F4","BK-578D905041","UPI-E65C529E6F","SIM-DAD4BFFB12","","","DA-3025E43850"
"KA-202501-000381","PH-A9672439BA","BK-C5A56D53C1","UPI-E03B985349","SIM-BF31BB2D96","","","DA-56FF21D4D4"
"KA-202501-000384","PH-C287F07580","BK-C4DBE58C7C","UPI-9944923B08","SIM-0F4BAC0B3B","","","DA-061BE8CF26"
"KA-202501-000387","PH-2755589039","BK-6184B660FA","UPI-FD9CE7717D","SIM-96F878B8D9","","","DA-08ED5CCB32"
"KA-202501-000390","PH-8D2D6CB6B6","BK-59175FF32D","UPI-64552E7F30","SIM-13E003AA29","","","DA-1983A3F30F"
"KA-202501-000393","PH-62CCBEFB81","BK-401032A95C","UPI-F87804504C","SIM-9298105253","","","DA-9987B3CFD1"
"KA-202501-000396","PH-AC55684A2E","BK-D8C7FD9565","UPI-E58F0FBC29","SIM-47F6875869","","","DA-A355DDAC9F"
"KA-202501-000399","PH-D0CF037868","BK-A62C19A4DC","UPI-2A19B8411B","SIM-71A6067FA7","","","DA-A4A7F29421"
"KA-202501-000402","PH-E6A0ED7831","BK-416272B7DD","UPI-DE74BB1F0A","SIM-4F7BD037C6","","","DA-CC008050F0"
"KA-202501-000405","PH-DE18D41F1F","BK-8130215D2E","UPI-517A48A27F","SIM-7AB3C2EDD6","","","DA-F47A3A7169"
"KA-202501-000408","PH-6518561E7F","BK-D629FEABF9","UPI-E839112B55","SIM-17403B56B1","","","DA-7343DCDE4B"
"KA-202501-000411","PH-671BE8FEED","BK-4B68D6B097","UPI-1FDD5847CB","SIM-E7A7A4DDEA","","","DA-E26B86CA17"
"KA-202501-000414","PH-85B6AAACC3","BK-CE90172069","UPI-1DCC814D18","SIM-4EB5D6272D","","","DA-671237C774"
"KA-202501-000417","PH-A070D1D5F9","BK-4D320685A7","UPI-49AAB89F4B","SIM-F23AAD2F2A","","","DA-2FE80C40DF"
"KA-202501-000420","PH-33EDC0FA77","BK-A4F0EBEFF4","UPI-DFFF3726BC","SIM-43BF86F65C","","","DA-97E27DB8FA"
"KA-202501-000423","PH-2A77E3C7C6","BK-A30FE1F124","UPI-1BFC1B3EEF","SIM-8182B924B1","","","DA-C0585658B7"
"KA-202501-000426","PH-CFB043AC0F","BK-6AFFEE8DA6","UPI-7159100424","SIM-36D4D7C111","","","DA-ABB6DD7043"
"KA-202501-000429","PH-1D26E57839","BK-CE57BD8E28","UPI-11B8D19D6A","SIM-4EAD9858EF","","","DA-089F6EA8A1"
"KA-202501-000432","PH-0E75020422","BK-811B5AB8BF","UPI-D6C6D9ED0E","SIM-767FCE68F1","","","DA-FC5EBC9F85"
"KA-202501-000435","PH-31375F5B69","BK-1C5A069AC4","UPI-99F098419A","SIM-17E21A5A05","","","DA-EB0A927573"
"KA-202501-000438","PH-66A4671F31","BK-741F83CC7A","UPI-CCBA7A4522","SIM-3A801F9899","","","DA-114C568701"
"KA-202501-000441","PH-555D7A8D52","BK-514B76D7BD","UPI-017ACDF420","SIM-FB9413CCA0","","","DA-3EEFD0F3F9"
"KA-202501-000444","PH-8C5013FBC7","BK-9C889F6522","UPI-97C86F7648","SIM-AFB24F4B64","","","DA-65CF05B0C1"
"KA-202501-000447","PH-E2BFBF29D2","BK-33FF72BBCB","UPI-D7EC0EB482","SIM-8F91DAD3A5","","","DA-01235B77E0"
"KA-202501-000450","PH-015DF56AEC","BK-1FF0196AEB","UPI-DE10272B73","SIM-F38DBA39D1","","","DA-52C6D2A156"
"KA-202501-000453","PH-71B3A8232D","BK-47361D669B","UPI-35F4044703","SIM-18D312F90A","","","DA-60F8A93E67"
"KA-202501-000456","PH-1F9AB6A269","BK-B4E1093AFD","UPI-41D1C21BB8","SIM-73D3FCF0B7","","","DA-30FAB4DA8B"
"KA-202501-000459","PH-41420B8760","BK-45B1F5000A","UPI-0ABCE0CF70","SIM-8CFBDE7914","","","DA-6100598AFA"
"KA-202501-000462","PH-C9BB26ECB1","BK-7A1A140546","UPI-1615B37B99","SIM-5AD2D452F8","","","DA-2C4ED9E68C"
"KA-202501-000465","PH-0214234C71","BK-0D3BCE5D7A","UPI-3E27BD93C4","SIM-2DC2F3C0BA","","","DA-E56D72C52D"
"KA-202501-000468","PH-F58E62973D","BK-25F3E09396","UPI-DD9CD6FE32","SIM-2E894DF927","","","DA-EBEBB13BCE"
"KA-202501-000471","PH-F5D628537B","BK-4942D13711","UPI-60E9AA7EA9","SIM-13C0F27C0F","","","DA-0E72B78EC1"
"KA-202501-000474","PH-675B21E1EC","BK-2DF49E1E1F","UPI-0B5D08D5CD","SIM-88F0265BD7","","","DA-89738C2B8B"
"KA-202501-000477","PH-CB12E51C46","BK-FDFB560512","UPI-27704B71B9","SIM-DA18BEBEC8","","","DA-850483DA67"
"KA-202501-000480","PH-2CBD791E49","BK-2BBC0E6C41","UPI-7DCE4C0811","SIM-B9B348CE50","","","DA-F6EC40550A"
"KA-202501-000483","PH-04971DA693","BK-A5FF291BC5","UPI-9631C83D06","SIM-4BFD27CE13","","","DA-DE76D4120C"
"KA-202501-000486","PH-24A07D3043","BK-44ACA43E0D","UPI-D0D19FB91A","SIM-E41AF198DB","","","DA-CBC34DFE29"
"KA-202501-000489","PH-8D6EBA9804","BK-C40D5D738E","UPI-1A5DE65FD5","SIM-AA076EE7EB","","","DA-33163F7C23"
"KA-202501-000492","PH-3A25C017EE","BK-2318155203","UPI-60F8584F1F","SIM-4D12E99909","","","DA-CAA8105735"
"KA-202501-000495","PH-C74C0E2D14","BK-C5AE15D504","UPI-8091748F19","SIM-66348B22F5","","","DA-006E8416E2"
"KA-202501-000498","PH-D52F23CC04","BK-8526FE479A","UPI-E6AE4862FF","SIM-A6F6C9889A","","","DA-1F5CA08349"
"KA-202501-000501","PH-4F3D9DA286","BK-95644167F5","UPI-57E7A51C08","SIM-19539F28A9","","","DA-D3B3B0BCAE"
"KA-202501-000504","PH-D8219A27B1","BK-DE93B9EEFE","UPI-E75C204E9D","SIM-72E59C5FD9","","","DA-7A0E75F727"
"KA-202501-000507","PH-A44FB4B5AF","BK-1EBF578003","UPI-B8248F8A7C","SIM-4950789B91","","","DA-C7DFF10711"
"KA-202501-000510","PH-F98FA8F5CE","BK-D6BD40B85A","UPI-BB4A3CFB85","SIM-A8F54EBB71","","","DA-1E905CA4BD"
"KA-202501-000513","PH-594C58DB8B","BK-0F89213A71","UPI-425EC9C6C5","SIM-0DCF4A6AC7","","","DA-13F2573BFF"
"KA-202501-000516","PH-8404171FC3","BK-E4BE69023B","UPI-E6668B7B10","SIM-0306766284","","","DA-AA54D53179"
"KA-202501-000519","PH-57BA8BFE9F","BK-100106312D","UPI-59AFDFDC7D","SIM-D22A67AC51","","","DA-13C823954E"
"KA-202501-000522","PH-42BDEE6208","BK-A170EA2663","UPI-88B47F48D8","SIM-A0CC6EEEF4","","","DA-5BAEC7F912"
"KA-202501-000525","PH-0072452E70","BK-DE95D47F35","UPI-A7F7700B6B","SIM-C328150C22","","","DA-C46C866011"
"KA-202501-000528","PH-05700D1D07","BK-E37EBE58A4","UPI-D2C6C0B359","SIM-340517E44C","","","DA-24AA86CB72"
"KA-202501-000531","PH-67ED6CDA90","BK-EC5F219346","UPI-8DA9222AF2","SIM-780575DF19","","","DA-680226661D"
"KA-202501-000534","PH-675FEEFFC9","BK-39D59619C5","UPI-B12874E283","SIM-678688E510","","","DA-55A0E744AF"
"KA-202501-000537","PH-DA2BA98B81","BK-BE6C37DCC4","UPI-A67229AAF9","SIM-506DEA07BB","","","DA-61A016D28A"
"KA-202501-000540","PH-EA4B65B324","BK-BAECB9CB02","UPI-7EFE8E93F0","SIM-3EF6C1E17E","","","DA-E6E804EB47"
"KA-202501-000543","PH-49CD426F93","BK-C2779AFE07","UPI-89E2BDF20E","SIM-292FDF6083","","","DA-D7D48055F3"
"KA-202501-000546","PH-99B9E960A6","BK-E99A7C73C8","UPI-C07BFC3DEA","SIM-D0D1AA4DA3","","","DA-1768C1E947"
"KA-202501-000549","PH-3D18CD89E2","BK-74E30D8A75","UPI-E676855758","SIM-114C6C56BD","","","DA-E7EDCA889B"
"KA-202501-000552","PH-D8DBEA3272","BK-D234F6552B","UPI-85AE0EDE12","SIM-01E4CDE74D","","","DA-98E6A7F811"
"KA-202501-000555","PH-6F46570599","BK-FCB522B378","UPI-074A4A1B68","SIM-127286C31A","","","DA-5007EDA591"
"KA-202501-000558","PH-A35DC9A5B2","BK-F8379A7925","UPI-03048A1E2D","SIM-2CD42FEE37","","","DA-649E288C06"
"KA-202501-000561","PH-222F06A18B","","","","","",""
"KA-202501-000564","PH-4ECAFA00AD","","","","","",""
"KA-202501-000567","PH-92C3589763","","","","","",""
"KA-202501-000570","PH-24BB7B57D6","","","","","",""
"KA-202501-000573","PH-2B3DC2273F","","","","","",""
"KA-202501-000576","PH-C872ACB22E","","","","","",""
"KA-202501-000579","PH-CAEE46241C","","","","","",""
"KA-202501-000582","PH-97F02BDB75","","","","","",""
"KA-202501-000585","PH-930A103441","","","","","",""
"KA-202501-000588","PH-F5295F075A","","","","","",""
"KA-202501-000591","PH-1A9D175194","","","","","",""
"KA-202501-000594","PH-63247B406C","","","","","",""
"KA-202501-000597","PH-53527CFD62","","","","","",""
"KA-202501-000600","PH-2209ADE461","","","","","",""
"KA-202501-000603","PH-BEBFC8F9F9","","","","","",""
"KA-202501-000606","PH-5C1005514B","","","","","",""
"KA-202501-000609","PH-6B234EE3F7","","","","","",""
"KA-202501-000612","PH-4A598BB844","","","","","",""
"KA-202501-000615","PH-20B39FD7D0","","","","","",""
"KA-202501-000618","PH-39D5BF6DDC","","","","","",""
"KA-202501-000621","PH-483180590C","","","","","",""
"KA-202501-000624","PH-3D9F23D8F3","","","","","",""
"KA-202501-000627","PH-C1DC1AC265","","","","","",""
"KA-202501-000630","PH-F13E8EEC3C","","","","","",""
"KA-202501-000633","PH-5193C50A50","","","","","",""
